start|00-06|06-12|12-18|18-24|total|latitude|longitude
(40.641,-73.789)|1290|2329|6397|9298|19314|40.641|-73.789
(40.642,-73.788)|4287|8969|25159|33910|72325|40.642|-73.788
(40.642,-73.789)|2643|6288|19595|23542|52068|40.642|-73.789
(40.643,-73.789)|792|3343|10677|9682|24494|40.643|-73.789
(40.643,-73.79)|1439|7317|18367|17350|44473|40.643|-73.79
(40.644,-73.782)|4861|8341|15918|15396|44516|40.644|-73.782
(40.644,-73.783)|6708|6990|19946|20514|54158|40.644|-73.783
(40.644,-73.784)|200|575|1243|706|2724|40.644|-73.784
(40.644,-73.79)|8240|26510|95299|108260|238309|40.644|-73.79
(40.644,-73.791)|1000|2781|10747|12869|27397|40.644|-73.791
(40.645,-73.776)|734|1176|3814|3908|9632|40.645|-73.776
(40.645,-73.777)|52309|106691|119614|171371|449985|40.645|-73.777
(40.645,-73.781)|8820|16528|25648|21430|72426|40.645|-73.781
(40.645,-73.782)|91495|148217|223417|229417|692546|40.645|-73.782
(40.646,-73.776)|715|1130|2753|2653|7251|40.646|-73.776
(40.646,-73.777)|11842|26053|30765|23090|91750|40.646|-73.777
(40.647,-73.778)|2472|6387|7549|5630|22038|40.647|-73.778
(40.647,-73.789)|9840|17029|34290|31743|92902|40.647|-73.789
(40.647,-73.79)|27452|60476|95123|94017|277068|40.647|-73.79
(40.649,-73.782)|172|466|850|253|1741|40.649|-73.782
(40.649,-73.783)|7318|10752|26901|38901|83872|40.649|-73.783
(40.649,-73.784)|14112|24586|53638|70695|163031|40.649|-73.784
(40.649,-73.785)|2794|5046|13438|14903|36181|40.649|-73.785
(40.656,-73.794)|150|239|423|492|1304|40.656|-73.794
(40.656,-73.795)|97|154|284|442|977|40.656|-73.795
(40.657,-73.793)|208|469|1147|852|2676|40.657|-73.793
(40.657,-73.794)|961|1352|2161|2835|7309|40.657|-73.794
(40.657,-73.795)|181|267|438|587|1473|40.657|-73.795
(40.662,-73.931)|91|143|376|69|679|40.662|-73.931
(40.666,-73.785)|29|16|23|55|123|40.666|-73.785
(40.666,-73.807)|16|20|24|56|116|40.666|-73.807
(40.667,-73.798)|38|64|128|122|352|40.667|-73.798
(40.667,-73.799)|36|69|120|139|364|40.667|-73.799
(40.668,-73.795)|8|14|16|28|66|40.668|-73.795
(40.668,-73.796)|34|53|84|124|295|40.668|-73.796
(40.673,-73.987)|352|1205|951|584|3092|40.673|-73.987
(40.68,-73.982)|414|316|369|512|1611|40.68|-73.982
(40.683,-73.98)|319|306|405|353|1383|40.683|-73.98
(40.683,-73.981)|115|242|427|299|1083|40.683|-73.981
(40.688,-74.182)|208|263|325|78|874|40.688|-74.182
(40.688,-74.183)|123|256|287|76|742|40.688|-74.183
(40.69,-74.178)|66|148|556|183|953|40.69|-74.178
(40.691,-74.177)|48|130|456|158|792|40.691|-74.177
(40.692,-73.984)|95|131|154|309|689|40.692|-73.984
(40.693,-73.989)|1278|2433|3010|4346|11067|40.693|-73.989
(40.693,-74.186)|330|431|608|811|2180|40.693|-74.186
(40.695,-74.177)|257|809|1207|365|2638|40.695|-74.177
(40.695,-74.178)|58|189|310|92|649|40.695|-74.178
(40.702,-74.011)|459|2174|6831|6499|15963|40.702|-74.011
(40.702,-74.013)|6978|17377|34994|33627|92976|40.702|-74.013
(40.702,-74.014)|1067|1698|4940|5079|12784|40.702|-74.014
