start|hour|trips|latitude|longitude
(40.641,-73.789)|0|818|40.641|-73.789
(40.641,-73.789)|1|235|40.641|-73.789
(40.641,-73.789)|2|72|40.641|-73.789
(40.641,-73.789)|3|14|40.641|-73.789
(40.641,-73.789)|4|16|40.641|-73.789
(40.641,-73.789)|5|135|40.641|-73.789
(40.641,-73.789)|6|875|40.641|-73.789
(40.641,-73.789)|7|396|40.641|-73.789
(40.641,-73.789)|8|193|40.641|-73.789
(40.641,-73.789)|9|179|40.641|-73.789
(40.641,-73.789)|10|500|40.641|-73.789
(40.641,-73.789)|11|186|40.641|-73.789
(40.641,-73.789)|12|320|40.641|-73.789
(40.641,-73.789)|13|418|40.641|-73.789
(40.641,-73.789)|14|1299|40.641|-73.789
(40.641,-73.789)|15|2164|40.641|-73.789
(40.641,-73.789)|16|891|40.641|-73.789
(40.641,-73.789)|17|1305|40.641|-73.789
(40.641,-73.789)|18|1782|40.641|-73.789
(40.641,-73.789)|19|1433|40.641|-73.789
(40.641,-73.789)|20|1607|40.641|-73.789
(40.641,-73.789)|21|1817|40.641|-73.789
(40.641,-73.789)|22|1449|40.641|-73.789
(40.641,-73.789)|23|1210|40.641|-73.789
(40.642,-73.788)|0|2813|40.642|-73.788
(40.642,-73.788)|1|805|40.642|-73.788
(40.642,-73.788)|2|167|40.642|-73.788
(40.642,-73.788)|3|35|40.642|-73.788
(40.642,-73.788)|4|45|40.642|-73.788
(40.642,-73.788)|5|422|40.642|-73.788
(40.642,-73.788)|6|3112|40.642|-73.788
(40.642,-73.788)|7|1490|40.642|-73.788
(40.642,-73.788)|8|722|40.642|-73.788
(40.642,-73.788)|9|679|40.642|-73.788
(40.642,-73.788)|10|2109|40.642|-73.788
(40.642,-73.788)|11|857|40.642|-73.788
(40.642,-73.788)|12|1491|40.642|-73.788
(40.642,-73.788)|13|2186|40.642|-73.788
(40.642,-73.788)|14|5083|40.642|-73.788
(40.642,-73.788)|15|7419|40.642|-73.788
(40.642,-73.788)|16|3508|40.642|-73.788
(40.642,-73.788)|17|5472|40.642|-73.788
(40.642,-73.788)|18|6359|40.642|-73.788
(40.642,-73.788)|19|5428|40.642|-73.788
(40.642,-73.788)|20|6206|40.642|-73.788
(40.642,-73.788)|21|6228|40.642|-73.788
(40.642,-73.788)|22|5055|40.642|-73.788
(40.642,-73.788)|23|4634|40.642|-73.788
(40.642,-73.789)|0|1814|40.642|-73.789
(40.642,-73.789)|1|456|40.642|-73.789
(40.642,-73.789)|2|109|40.642|-73.789
(40.642,-73.789)|3|22|40.642|-73.789
(40.642,-73.789)|4|33|40.642|-73.789
(40.642,-73.789)|5|209|40.642|-73.789
(40.642,-73.789)|6|1431|40.642|-73.789
(40.642,-73.789)|7|1013|40.642|-73.789
(40.642,-73.789)|8|594|40.642|-73.789
(40.642,-73.789)|9|510|40.642|-73.789
(40.642,-73.789)|10|1367|40.642|-73.789
(40.642,-73.789)|11|1373|40.642|-73.789
(40.642,-73.789)|12|1558|40.642|-73.789
(40.642,-73.789)|13|2326|40.642|-73.789
(40.642,-73.789)|14|3708|40.642|-73.789
(40.642,-73.789)|15|4640|40.642|-73.789
(40.642,-73.789)|16|3195|40.642|-73.789
(40.642,-73.789)|17|4168|40.642|-73.789
(40.642,-73.789)|18|4382|40.642|-73.789
(40.642,-73.789)|19|3718|40.642|-73.789
(40.642,-73.789)|20|4148|40.642|-73.789
(40.642,-73.789)|21|4236|40.642|-73.789
(40.642,-73.789)|22|3752|40.642|-73.789
(40.642,-73.789)|23|3306|40.642|-73.789
(40.643,-73.789)|0|622|40.643|-73.789
(40.643,-73.789)|1|83|40.643|-73.789
(40.643,-73.789)|2|36|40.643|-73.789
(40.643,-73.789)|3|12|40.643|-73.789
(40.643,-73.789)|4|9|40.643|-73.789
(40.643,-73.789)|5|30|40.643|-73.789
(40.643,-73.789)|6|253|40.643|-73.789
(40.643,-73.789)|7|468|40.643|-73.789
(40.643,-73.789)|8|446|40.643|-73.789
(40.643,-73.789)|9|253|40.643|-73.789
(40.643,-73.789)|10|703|40.643|-73.789
(40.643,-73.789)|11|1220|40.643|-73.789
(40.643,-73.789)|12|1178|40.643|-73.789
(40.643,-73.789)|13|1590|40.643|-73.789
(40.643,-73.789)|14|1969|40.643|-73.789
(40.643,-73.789)|15|1922|40.643|-73.789
(40.643,-73.789)|16|1938|40.643|-73.789
(40.643,-73.789)|17|2080|40.643|-73.789
