node|y|x|degree|out_degree|in_degree
(40.734,-73.991)|40.734|-73.991|4|4|0
(40.739,-74.008)|40.739|-74.008|3|3|0
(40.733,-74.003)|40.733|-74.003|11|2|9
(40.777,-73.956)|40.777|-73.956|3|0|3
(40.75,-73.975)|40.75|-73.975|13|5|8
(40.775,-73.988)|40.775|-73.988|1|0|1
(40.741,-73.988)|40.741|-73.988|9|2|7
(40.737,-73.984)|40.737|-73.984|1|1|0
(40.72,-74.009)|40.72|-74.009|1|1|0
(40.769,-73.965)|40.769|-73.965|2|1|1
(40.781,-73.98)|40.781|-73.98|24|13|11
(40.738,-74.008)|40.738|-74.008|2|2|0
(40.786,-73.951)|40.786|-73.951|11|7|4
(40.742,-73.981)|40.742|-73.981|32|21|11
(40.751,-73.976)|40.751|-73.976|17|8|9
(40.711,-74.016)|40.711|-74.016|15|11|4
(40.753,-73.978)|40.753|-73.978|29|12|17
(40.755,-73.978)|40.755|-73.978|21|12|9
(40.741,-73.998)|40.741|-73.998|12|4|8
(40.766,-73.982)|40.766|-73.982|4|3|1
(40.763,-73.968)|40.763|-73.968|59|21|38
(40.806,-73.965)|40.806|-73.965|3|0|3
(40.738,-73.997)|40.738|-73.997|1|1|0
(40.769,-73.952)|40.769|-73.952|2|2|0
(40.764,-73.996)|40.764|-73.996|8|4|4
(40.807,-73.964)|40.807|-73.964|1|0|1
(40.772,-73.965)|40.772|-73.965|9|5|4
(40.73,-73.978)|40.73|-73.978|2|2|0
(40.749,-73.992)|40.749|-73.992|354|83|271
(40.728,-73.982)|40.728|-73.982|1|1|0
(40.759,-73.996)|40.759|-73.996|11|3|8
(40.739,-73.977)|40.739|-73.977|15|1|14
(40.756,-73.993)|40.756|-73.993|1|0|1
(40.761,-73.997)|40.761|-73.997|1|0|1
(40.745,-73.998)|40.745|-73.998|7|5|2
(40.743,-74.008)|40.743|-74.008|4|1|3
(40.764,-73.974)|40.764|-73.974|28|21|7
(40.758,-73.963)|40.758|-73.963|4|3|1
(40.738,-73.99)|40.738|-73.99|4|2|2
(40.726,-73.996)|40.726|-73.996|3|0|3
(40.78,-73.962)|40.78|-73.962|6|0|6
(40.758,-73.973)|40.758|-73.973|10|1|9
(40.741,-74.007)|40.741|-74.007|6|1|5
(40.75,-74.003)|40.75|-74.003|10|5|5
(40.765,-73.975)|40.765|-73.975|16|8|8
